community_id,size,summary
0,4,"Entities: Bob Iger, Disney+, Hulu, Walt Disney Co.. Relations: Walt Disney Co. -USES-> Disney+; Walt Disney Co. -USES-> Hulu; Bob Iger -LEADS-> Walt Disney Co.."
2,4,"Entities: BrightWire Networks, Granite Computer Solutions, Intelligent Technical Solutions, Tower Arch Capital. Relations: Intelligent Technical Solutions -ACQUIRED-> BrightWire Networks; Intelligent Technical Solutions -ACQUIRED-> Granite Computer Solutions; Tower Arch Capital -INVESTED_IN-> Intelligent Technical Solutions."
1,4,"Entities: Samsung Electronics Co. Ltd., advanced semiconductor technology, analog semiconductor technology, logic semiconductor technology. Relations: Samsung Electronics Co. Ltd. -DEVELOPED-> logic semiconductor technology; Samsung Electronics Co. Ltd. -DEVELOPED-> analog semiconductor technology; Samsung Electronics Co. Ltd. -LEADS-> advanced semiconductor technology."
10,2,"Entities: Sineng Electric, onsemi EliteSiC silicon technology. Relations: Sineng Electric -USES-> onsemi EliteSiC silicon technology."
16,2,"Entities: Charlie, ISG. Relations: Charlie -WORKED_AT-> ISG."
15,2,"Entities: Press Gazette, Richard Jamieson. Relations: Richard Jamieson -WORKED_AT-> Press Gazette."
14,2,"Entities: Barry Holt, Information Services Group. Relations: Barry Holt -WORKED_AT-> Information Services Group."
13,2,"Entities: IDC, Mark Leary. Relations: Mark Leary -WORKED_AT-> IDC."
12,2,"Entities: Apple, iPhone 15. Relations: Apple -DEVELOPED-> iPhone 15."
11,2,"Entities: Iridium Communications Inc., Smithsonian Institution. Relations: Iridium Communications Inc. -PARTNERED_WITH-> Smithsonian Institution."
9,2,"Entities: HydraGEN™ Carbon Emission Reduction Technology, dynaCERT. Relations: dynaCERT -DEVELOPED-> HydraGEN™ Carbon Emission Reduction Technology."
8,2,"Entities: APS Connections Marketplace, IAS. Relations: IAS -USES-> APS Connections Marketplace."
7,2,"Entities: Sojern, VenueLytics. Relations: Sojern -ACQUIRED-> VenueLytics."
6,2,"Entities: ACP IT Solutions GmbH Dresden, SIOS Technology Corp.. Relations: SIOS Technology Corp. -PARTNERED_WITH-> ACP IT Solutions GmbH Dresden."
5,2,"Entities: Aeris Communications, Ericsson. Relations: Aeris Communications -PARTNERED_WITH-> Ericsson."
4,2,"Entities: Aretum, Renovus. Relations: Renovus -INVESTED_IN-> Aretum."
3,2,"Entities: GreenPages, Zanaris. Relations: GreenPages -ACQUIRED-> Zanaris."
17,2,"Entities: Synchronoss Personal Cloud platform, Telecom operators. Relations: Synchronoss Personal Cloud platform -USES-> Telecom operators."
