Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,3.0,1.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Faithfulness,3.0,1.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Multi-hop reasoning,3.0,1.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Latency (s),19.296,26.799,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,1471.5,840.5,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.344,35.368,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,1123.0,802.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),1.459,10.517,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,721.0,607.0,GraphRAG không đắt hơn trong sample này.
